client;date;flg_eletricidade_ativo;flg_gas_ativo;flg_easy_ativo;flg_smart_ativo;flg_full_ativo;potencia_contratada;qtd_os_packs;qtd_os_packs_abertas;qtd_os_excl_packs;qtd_os_excl_packs_abertas;qtd_pi;qtd_pi_aberto;qtd_po;qtd_po_aberto;qtd_rec_aberto;eletricidade_yrsrecensy;gas_yrsrecensy;contract_days;escalao_consumo;flg_deb_direto;flg_fatura_eletronica;divida_total;churn_label
461;01/07/2021;1;1;0;1;0;4.6;0;0;0;0;0;0;9;0;0;7.79;7.704;265;1;1;1;0;0
581;01/10/2021;1;0;0;0;1;3.45;2;2;0;0;0;0;1;0;0;7.696;null;325;null;1;1;13.9;0
599;01/03/2022;1;0;0;0;1;6.9;4;2;0;0;0;0;48;0;0;8.075;null;869;null;1;1;100.73;0
699;01/12/2021;1;0;0;0;1;10.35;2;2;0;0;5;0;22;0;0;7.594;null;805;null;0;1;0;0
831;01/03/2021;1;0;0;1;0;4.6;0;0;0;0;0;0;14;0;0;6.449;null;581;null;0;0;75.49;0
921;01/01/2021;0;1;0;0;1;null;0;0;0;0;12;0;5;0;0;6.099;6.099;130;null;1;1;0;0
1057;01/05/2021;1;1;0;1;0;3.45;2;2;1;0;2;0;7;1;0;6.237;6.207;8;1;1;1;0;0
1070;01/03/2022;1;0;0;1;0;3.45;2;2;0;0;0;0;2;0;0;7.051;null;76;null;1;0;0;0
1120;01/03/2021;1;0;0;1;0;5.75;2;0;0;0;2;0;11;0;0;5.887;null;117;null;0;1;0;0
1140;01/01/2021;1;0;0;1;0;3.45;0;0;0;0;1;0;4;0;0;5.656;null;339;null;1;1;7.9;0
1219;01/03/2022;1;0;0;1;0;4.6;5;2;0;0;1;0;6;0;0;6.54;null;531;null;1;1;60.67;0
1377;01/06/2021;1;0;0;1;0;3.45;0;0;0;0;3;0;8;0;0;5.323;null;330;null;0;0;14.76;0
1455;01/02/2022;1;0;0;0;1;6.9;4;2;0;0;2;0;7;0;0;5.707;null;586;null;1;1;12.9;0
1471;01/09/2020;1;0;1;0;0;6.9;0;0;0;0;0;0;1;0;0;4.212;null;202;null;1;0;0;1
1474;01/12/2021;1;1;0;0;1;5.75;7;4;9;2;56;0;209;0;0;5.433;5.444;757;2;0;1;3727.59;0
1597;01/02/2021;1;0;0;0;1;10.35;0;0;0;0;1;0;1;0;0;4.151;null;174;null;0;1;286.05;0
1661;01/12/2020;1;0;0;0;1;13.8;1;0;10;1;12;0;75;0;0;3.715;null;140;null;0;1;1303.78;0
1759;01/01/2022;1;1;0;0;1;4.6;1;0;7;0;10;0;51;0;0;4.398;4.245;177;1;1;1;13.9;0
1807;01/10/2021;1;1;0;1;0;3.45;1;0;5;0;3;0;11;0;0;3.941;3.876;360;1;1;1;31.67;0
1822;01/03/2021;1;0;0;0;1;6.9;0;0;9;0;10;0;45;0;0;3.215;null;273;null;0;1;0;0
1916;01/01/2021;1;1;0;1;0;10.35;1;0;0;0;1;0;1;0;0;2.656;0.36;142;1;1;0;124.5;0
1960;01/08/2021;1;0;0;0;1;5.75;0;0;0;0;0;0;21;0;0;3.075;null;320;null;1;1;0;0
2042;01/02/2022;0;0;0;1;0;null;3;0;0;0;1;0;4;0;0;3.288;null;643;null;1;1;0;1
2093;01/09/2020;1;0;0;0;1;6.9;0;0;0;0;0;0;4;0;0;1.68;null;239;null;0;0;458.99;0
2297;01/11/2020;1;1;0;1;0;4.6;1;0;2;0;1;0;2;0;0;1.331;1.306;487;1;1;1;0;0
2328;01/05/2021;1;1;0;0;1;4.6;0;0;1;0;1;0;43;0;0;1.758;1.694;544;2;1;1;26.35;0
2366;01/09/2020;1;0;0;0;1;6.9;0;0;0;0;0;0;1;0;0;1.005;null;350;null;1;0;0;0
2412;01/06/2021;1;1;0;0;1;41.4;0;0;4;0;1;0;18;0;0;1.72;1.715;378;4;1;1;0;1
2448;01/01/2022;1;0;0;0;1;6.9;4;2;2;0;2;0;35;0;0;2.25;null;773;null;1;1;1083.2;0
2455;01/08/2021;1;1;0;0;1;5.75;0;0;1;0;0;0;33;0;0;1.825;1.806;320;1;1;1;0;1
2469;01/10/2020;1;1;0;1;0;3.45;2;1;0;0;0;0;13;0;0;0.976;0.954;357;1;1;1;0;1
2524;01/10/2020;0;1;0;1;0;null;1;0;1;0;2;0;7;0;0;0.933;0.901;338;null;1;1;575.2;0
2543;01/04/2021;1;0;1;0;0;3.45;0;0;0;0;0;0;0;0;0;1.438;null;525;null;0;0;51.13;0
2629;01/06/2021;1;0;1;0;0;6.9;0;0;0;0;0;0;5;0;0;1.522;null;553;null;1;1;6.3;0
2647;01/06/2021;0;0;0;1;0;null;2;2;0;0;1;0;2;0;0;1.527;null;557;null;0;0;7.9;0
2664;01/02/2022;1;0;0;0;1;3.45;3;3;1;0;27;0;35;0;0;2.196;null;49;null;0;1;513.68;0
2810;01/06/2021;1;0;0;0;1;3.45;2;2;0;0;0;0;6;0;0;1.433;null;523;null;1;1;0;0
2832;01/03/2022;1;1;0;1;0;5.75;5;4;0;0;0;0;5;0;0;2.169;2.169;791;1;1;1;12.65;0
